id	Input Sentence	New Sentence		
0	"	Both taxa are produced in abundance by a variety of coniferous plants, and are typical in the Paleogene of the northern UK and Greenland region (Boulter and Manum, 1989; Jolley and Whitham, 2004; Jolley and Morton, 2007), as well as mid-latitude North America (Smith et al., 2007) and Arctic Canada (Greenwood and Basinger, 1993)."	"	Both taxa are produced in abundance by a variety of coniferous plants, and are typical in the Paleogene of the northern UK and Greenland region , as well as mid-latitude North America  and Arctic Canada ."	Positive	Comparison
	"taxa	""are produced in abundance by variety of""	""coniferous plants""	"			
	"taxa	""are produced in""	""abundance""	"			
	"taxa	""are typical in Paleogene of""	""northern UK""	"			
	"taxa	""are typical in Paleogene of""	""Greenland region""	"			
	"taxa	""are""	""typical""	"			
				
1	"	Diatom ¦Ä30Si is a proxy for diatom silicic acid utilisation (Fig. 2a) because frustule growth preferentially incorporates 28Si over 30Si with 30¦Å?-1.1¡ë (De La Rocha et al., 1997)."	"	Diatom ¦Ä30Si is a proxy for diatom silicic acid utilisation (Fig. 2a) because frustule growth preferentially incorporates 28Si over 30Si with 30¦Å?-1.1¡ë ."	Neutral	Criticizing
	"Diatom ¦Ä30Si	""is proxy for""	""diatom silicic acid utilisation""	"			
	"Diatom ¦Ä30Si	""is""	""proxy""	"			
	"diatom silicic acid utilisation	""is""	""Fig. 2a""	"			
	"frustule growth	""incorporates""	""28Si over 30Si with QUANT_O_1 ¡ë""	"			
				
2	"	Today, incomplete nutrient utilisation makes this a region of CO2 venting to the atmosphere (Marinov et al., 2006)."	"	Today, incomplete nutrient utilisation makes this a region of CO2 venting to the atmosphere ."	Neutral	Criticizing
	"incomplete nutrient utilisation	""makes region of CO2 venting to atmosphere""	""Today""	"			
	"CO2	""be venting to""	""atmosphere""	"			
				
3	"	These features reached pressures in the 300-500mb range (Sromovsky et al., 2007), which is well above the 1.2-bar methane condensation level (Sromovsky et al., 2011)."	"	These features reached pressures in the 300-500mb range , which is well above the 1.2-bar methane condensation level ."	Positive	Comparison
	"features	""reached pressures in""	""300-500mb range""	"			
	"features	""reached""	""pressures""	"			
	"300-500mb range	""is above""	""well 1.2-bar methane condensation level""	"			
				
4	"	We have run all simulations for solar minimum conditions (May 15, 2008), identical to the fluxes used by Galand et al. (2009, 2011)."	"	We have run all simulations for solar minimum conditions (May 15, 2008), identical to the fluxes used by Galand et al. ."	Neutral	Criticizing
	"We	""have run QUANT_R_1 simulations for solar minimum conditions""	""identical to fluxes used by Galand et al.""	"			
	"We	""have run QUANT_O_1 simulations for""	""solar minimum conditions""	"			
	"fluxes	""be used by""	""Galand et al.""	"			
				
5	"	These concentrations are both many orders of magnitude lower than the observed abundance at the Phoenix landing site: 0.4-0.6wt.% (Hecht et al., 2009)."	"	These concentrations are both many orders of magnitude lower than the observed abundance at the Phoenix landing site: 0.4-0.6wt.% ."	Neutral	Criticizing
				
6	"	At Indus-23 a possible depositional hiatus in the Mid Holocene is identified at ~640cmbsf below the present day seafloor (Fig. 4) (Limmer et al., 2012)."	"	At Indus-23 a possible depositional hiatus in the Mid Holocene is identified at ~640cmbsf below the present day seafloor (Fig. 4) ."	Neutral	Criticizing
	"possible depositional hiatus in Mid Holocene	""is identified at QUANT_R_1 640cmbsf below the present day seafloor At""	""Indus-23""	"			
	"possible depositional hiatus in Mid Holocene	""is identified at QUANT_O_1 640cmbsf below""	""the present day seafloor""	"			
	"the present day seafloor	""is""	""Fig. QUANT_O_1""	"			
				
7	"	For the Earth, modelling by Newell et al. (2009), shows that diffuse aurora may account for 70% of the precipitating particle energy flux into the high-latitude ionosphere."	"	For the Earth, modelling by Newell et al. , shows that diffuse aurora may account for 70% of the precipitating particle energy flux into the high-latitude ionosphere."	Neutral	Criticizing
	"diffuse aurora	""account for QUANT_R_1 of precipitating particle energy flux into""	""high-latitude ionosphere""	"			
	"diffuse aurora	""account for QUANT_O_1 of""	""precipitating particle energy flux""	"			
				
8	"	Possible explanations include the accumulated influence of isotopic discrimination during selective microbial decomposition of specific substrates within the SOM (Nadelhoffer and Fry, 1988; Buchmann et al., 1997; Lin et al., 1999), and more importantly by the increased contribution of microbially derived C to SOM with depth (Ehleringer et al., 2000; H?gberg et al., 2005)."	"	Possible explanations include the accumulated influence of isotopic discrimination during selective microbial decomposition of specific substrates within the SOM , and more importantly by the increased contribution of microbially derived C to SOM with depth ."	Positive	Comparison
	"Possible explanations	""include""	""accumulated influence of isotopic discrimination during selective microbial decomposition of specific substrates within SOM""	"			
	"Possible explanations	""include""	""more importantly by increased contribution of microbially derived C to SOM with depth""	"			
				
9	"	The yield decline usually occurs after two or three years of monoculture (as in this study), depending on crops, number of years and soil, and is usually attributed to the increase of yield-debilitating populations and switches of underground microbial communities (van Elsas et al., 2002)."	"	The yield decline usually occurs after two or three years of monoculture (as in this study), depending on crops, number of years and soil, and is usually attributed to the increase of yield-debilitating populations and switches of underground microbial communities ."	Neutral	Criticizing
	"yield decline	""occurs after""	""QUANT_O_1 years of monoculture as in study""	"			
	"yield decline	""occurs after""	""QUANT_O_1 years of monoculture as in study""	"			
	"yield decline	""occurs after QUANT_R_1 years of monoculture as in study depending on""	""crops""	"			
	"yield decline	""occurs after QUANT_R_1 years of monoculture as in study depending on""	""crops""	"			
				
