id,Input Sentence
0,	Assume that L is a line bundle.
,"L"	"is"	"line bundle"	,(+,CT),NONE

1,"	Thus the class tp(-) is defined for varieties of dimension i(p-1) when i is arbitrary, satisfies the degree formula when i≤p, and is of p-torsion when i≤p-1."
,"i"	"is"	"arbitrary"	,(+,CT),NONE

2,"	In order to achieve this, we prove that the sufficient condition of Theorem 1.1 is satisfied when X does not coincide with the underlying manifold of G."
,"X"	"does coincide with underlying manifold of"	"G."	,(-,CT),(we, (+,CT))

3,	We now check that our hypothesis is invariantly defined.
,"our"	"has"	"hypothesis"	,(+,CT),NONE
,"hypothesis"	"is defined"	"invariantly"	,(+,CT),NONE
,"hypothesis"	"is defined"	,(+,CT),NONE

4,"	We work in the assumptions of Theorem 3.3, so that the ideal ID is invariant and the quotient module is defined."
,"We"	"work in assumptions of"	"Theorem QUANT_O_1"	,(+,CT),NONE
,"ideal ID"	"is"	"invariant"	,(+,CT),NONE
,"quotient module"	"is defined"	,(+,CT),NONE

5,"	But on the other handRˆ-bj=(τ(-bj)Rˆ+)∩Rˆ-={[β,ℏk]|β∈R-,k∈Z,(β,bj)<k≤0}, which implies (α(1),bj)<0."
,"other handRˆ-bj =-LRB- τ"	"is"	"bj"	,(+,CT),NONE
,"-LSB- β -RSB-"	"is"	"ℏk"	,(+,CT),NONE
,"k QUANT_S_1 Z"	"is"	"β"	,(+,CT),NONE
,"β"	"is"	"bj"	,(+,CT),NONE
,"k QUANT_S_1 Z"	"implies"	,(+,CT),NONE
,"α"	"is"	"QUANT_O_1"	,(+,CT),NONE
,"α"	"is"	"bj"	,(+,CT),NONE

6,"	The association between stroke risk and depressive symptoms warrants further research, as it raises the possibility that cerebrovascular rather than cardiovascular risk status may act as an early marker of depression risk."
,"cerebrovascular risk status"	"act as early marker of"	"depression risk"	,(+,PS),NONE
,"cardiovascular risk status"	"act as early marker of"	"depression risk"	,(+,PS),NONE

7,	Analysis 1: Manifest Vascular and Nonvascular Disease as a Predictor of Depressive Symptoms

8,"	The >250μm fractions, found through light microscope analysis to be dominated (>90%) by amorphous organic matter (AOM), were also analysed for δ13C."
,"> 250μm fractions"	"be found through"	"light microscope analysis to be dominated by amorphous organic matter"	,(+,CT),NONE
,"light microscope analysis"	"be dominated by"	"amorphous organic matter"	,(+,CT),NONE
